Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time
2025-01-16 20:31:53.151925,345.999,False,2.538338,6.9e-05,0.0,0.0,2025-01-16 20:37:49.181759,2025-01-16 15:37:49.181759
2025-01-16 20:31:53.151950,345.999,True,1.037397,1.071481,1.106047,1.098197,2025-01-16 20:37:49.181784,2025-01-16 15:37:49.181784
2025-01-16 20:31:54.151775,346.999,False,2.820375,6.9e-05,0.0,0.0,2025-01-16 20:37:50.181609,2025-01-16 15:37:50.181609
2025-01-16 20:31:54.151800,346.999,True,1.037397,1.071481,1.106047,1.098404,2025-01-16 20:37:50.181634,2025-01-16 15:37:50.181634
2025-01-16 20:31:55.151775,347.999,False,3.102412,6.9e-05,0.0,0.0,2025-01-16 20:37:51.181609,2025-01-16 15:37:51.181609
2025-01-16 20:31:55.151775,347.999,True,1.037259,1.071412,1.106047,1.098128,2025-01-16 20:37:51.181609,2025-01-16 15:37:51.181609
2025-01-16 20:31:56.151775,348.999,False,0.210495,6.9e-05,0.0,0.0,2025-01-16 20:37:52.181609,2025-01-16 15:37:52.181609
2025-01-16 20:31:56.151800,348.999,True,1.037534,1.071481,1.105978,1.098473,2025-01-16 20:37:52.181634,2025-01-16 15:37:52.181634
2025-01-16 20:31:57.151775,349.999,False,0.285825,6.9e-05,0.0,0.0,2025-01-16 20:37:53.181609,2025-01-16 15:37:53.181609
2025-01-16 20:31:57.151775,349.999,True,1.037259,1.071481,1.106047,1.098473,2025-01-16 20:37:53.181609,2025-01-16 15:37:53.181609
2025-01-16 20:31:58.151775,350.999,False,0.757907,6.9e-05,0.0,0.0,2025-01-16 20:37:54.181609,2025-01-16 15:37:54.181609
2025-01-16 20:31:58.151800,350.999,True,1.037466,1.071412,1.106116,1.098404,2025-01-16 20:37:54.181634,2025-01-16 15:37:54.181634
2025-01-16 20:31:59.151750,351.999,False,1.038912,6.9e-05,0.0,0.0,2025-01-16 20:37:55.181584,2025-01-16 15:37:55.181584
2025-01-16 20:31:59.151775,351.999,True,1.037259,1.071481,1.106185,1.098197,2025-01-16 20:37:55.181609,2025-01-16 15:37:55.181609
2025-01-16 20:32:00.151825,352.999,False,1.195905,6.9e-05,0.0,0.0,2025-01-16 20:37:56.181659,2025-01-16 15:37:56.181659
2025-01-16 20:32:00.151900,352.999,True,1.037328,1.071481,1.106047,1.098335,2025-01-16 20:37:56.181734,2025-01-16 15:37:56.181734
2025-01-16 20:32:01.151775,353.999,False,1.419345,6.9e-05,0.0,0.0,2025-01-16 20:37:57.181609,2025-01-16 15:37:57.181609
2025-01-16 20:32:01.151800,353.999,True,1.037328,1.071481,1.105909,1.098542,2025-01-16 20:37:57.181634,2025-01-16 15:37:57.181634
2025-01-16 20:32:02.151800,354.999,False,1.718804,6.9e-05,0.0,0.0,2025-01-16 20:37:58.181634,2025-01-16 15:37:58.181634
2025-01-16 20:32:02.151825,354.999,True,1.037259,1.071481,1.106116,1.098266,2025-01-16 20:37:58.181659,2025-01-16 15:37:58.181659
2025-01-16 20:32:03.151825,355.999,False,1.974538,6.9e-05,0.0,0.0,2025-01-16 20:37:59.181659,2025-01-16 15:37:59.181659
2025-01-16 20:32:03.151925,355.999,True,1.037328,1.071481,1.106116,1.098404,2025-01-16 20:37:59.181759,2025-01-16 15:37:59.181759
2025-01-16 20:32:04.151775,356.999,False,2.299749,6.9e-05,0.0,0.0,2025-01-16 20:38:00.181609,2025-01-16 15:38:00.181609
2025-01-16 20:32:04.151800,356.999,True,1.037534,1.071412,1.105978,1.098197,2025-01-16 20:38:00.181634,2025-01-16 15:38:00.181634
2025-01-16 20:32:05.151800,357.999,False,2.538338,6.9e-05,0.0,0.0,2025-01-16 20:38:01.181634,2025-01-16 15:38:01.181634
2025-01-16 20:32:05.151800,357.999,True,1.037259,1.071412,1.106047,1.098335,2025-01-16 20:38:01.181634,2025-01-16 15:38:01.181634
2025-01-16 20:32:06.151800,358.999,False,2.820375,6.9e-05,0.0,0.0,2025-01-16 20:38:02.181634,2025-01-16 15:38:02.181634
2025-01-16 20:32:06.151825,358.999,True,1.037328,1.071481,1.106116,1.098128,2025-01-16 20:38:02.181659,2025-01-16 15:38:02.181659
2025-01-16 20:32:07.151775,359.999,False,3.102412,6.9e-05,0.0,0.0,2025-01-16 20:38:03.181609,2025-01-16 15:38:03.181609
