Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
2025-01-19 18:31:09.066750,95.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:31:09.066775,95.999,True,1.040151,1.073065,1.109008,1.101089
2025-01-19 18:31:10.066875,96.999,False,0.211528,6.9e-05,0.0,0.0
2025-01-19 18:31:10.066875,96.999,True,1.040013,1.073202,1.10887,1.101158
2025-01-19 18:31:11.067225,97.999,False,0.285756,6.9e-05,0.0,0.0
2025-01-19 18:31:11.067225,97.999,True,1.040013,1.07334,1.10887,1.100952
2025-01-19 18:31:12.067150,98.999,False,0.757563,6.9e-05,0.0,0.0
2025-01-19 18:31:12.067175,98.999,True,1.040082,1.073133,1.108801,1.101158
2025-01-19 18:31:13.066825,99.999,False,1.03843,6.9e-05,0.0,0.0
2025-01-19 18:31:13.066850,99.999,True,1.040013,1.073133,1.108939,1.101502
2025-01-19 18:31:14.066900,100.999,False,1.195836,6.9e-05,0.0,0.0
2025-01-19 18:31:14.066925,100.999,True,1.040013,1.073133,1.108939,1.101089
2025-01-19 18:31:15.066875,101.999,False,1.419277,6.9e-05,0.0,0.0
2025-01-19 18:31:15.066900,101.999,True,1.039944,1.073065,1.108939,1.10102
2025-01-19 18:31:16.066800,102.999,False,1.718804,6.9e-05,0.0,0.0
2025-01-19 18:31:16.066825,102.999,True,1.040289,1.073202,1.10887,1.10102
2025-01-19 18:31:17.066825,103.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:31:17.066850,103.999,True,1.040013,1.072996,1.108732,1.100883
2025-01-19 18:31:18.066825,104.999,False,2.305601,6.9e-05,0.0,0.0
2025-01-19 18:31:18.066850,104.999,True,1.039944,1.072858,1.109008,1.10102
2025-01-19 18:31:19.066825,105.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:31:19.066850,105.999,True,1.040289,1.072996,1.108801,1.10102
2025-01-19 18:31:20.066800,106.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:31:20.066825,106.999,True,1.040082,1.073065,1.10887,1.10102
2025-01-19 18:31:21.066825,107.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:31:21.066825,107.999,True,1.039944,1.073133,1.10887,1.100883
2025-01-19 18:31:22.066825,108.999,False,0.211528,6.9e-05,0.0,0.0
2025-01-19 18:31:22.066850,108.999,True,1.039944,1.072996,1.10887,1.100883
2025-01-19 18:31:23.066875,109.999,False,0.285756,6.9e-05,0.0,0.0
2025-01-19 18:31:23.066900,109.999,True,1.039807,1.072927,1.108801,1.100952
2025-01-19 18:31:24.066900,110.999,False,0.757563,6.9e-05,0.0,0.0
2025-01-19 18:31:24.066925,110.999,True,1.040358,1.072858,1.108801,1.100952
2025-01-19 18:31:25.066875,111.999,False,1.038498,6.9e-05,0.0,0.0
2025-01-19 18:31:25.066900,111.999,True,1.039944,1.072789,1.108595,1.100814
2025-01-19 18:31:26.066825,112.999,False,1.195767,6.9e-05,0.0,0.0
2025-01-19 18:31:26.066850,112.999,True,1.040082,1.072858,1.108732,1.100883
2025-01-19 18:31:27.066850,113.999,False,1.419277,6.9e-05,0.0,0.0
2025-01-19 18:31:27.066850,113.999,True,1.039876,1.073065,1.108664,1.100883
2025-01-19 18:31:28.066900,114.999,False,1.718804,6.9e-05,0.0,0.0
2025-01-19 18:31:28.066925,114.999,True,1.040151,1.072858,1.108526,1.100952
2025-01-19 18:31:29.066800,115.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:31:29.066800,115.999,True,1.039944,1.072927,1.108801,1.100952
